Line	MM/DD/YY hh:mm:ss.ms.us	DTE(hex)	DCE(hex)
788	02/27/18 16:21:26.190.451		c5 ae c5 ae c5 ae c5 ae 
789	02/27/18 16:21:26.191.143		c5 ae c5 ae c5 ae c4 ae 
790	02/27/18 16:21:26.191.836		c4 ae c4 ae bd 95 ac 43 
791	02/27/18 16:21:26.192.528		93 1d 78 0c 5e 03 46 00 
792	02/27/18 16:21:26.193.221		34 00 26 00 1b 00 14 00 
793	02/27/18 16:21:26.193.913		0f 00 0b 00 08 00 06 00 
794	02/27/18 16:21:26.194.605		05 00 04 00 82 21 
795	02/27/18 16:21:26.343.793	02 02 00 08 02 	
796	02/27/18 16:21:26.362.897		02 02 2e cd ae 00 04 bb 
797	02/27/18 16:21:26.363.590		33 04 00 58 58 01 0a 
798	02/27/18 16:21:26.364.195		ca 00 04 ff 03 01 07 02 
799	02/27/18 16:21:26.364.888		00 00 00 01 04 03 01 00 
800	02/27/18 16:21:26.365.580		00 00 00 00 00 00 00 00 
801	02/27/18 16:21:26.366.273		00 00 00 00 00 00 00 00 
802	02/27/18 16:21:26.366.965		63 63 63 63 27 7b 
803	02/27/18 16:21:26.500.037	02 02 00 08 02 	
804	02/27/18 16:21:26.512.902		02 02 2e cd ae 00 04 bb 
805	02/27/18 16:21:26.513.594		c9 04 00 58 58 01 0a 
806	02/27/18 16:21:26.514.200		ca 00 04 ff 03 01 07 02 
807	02/27/18 16:21:26.514.892		00 00 00 01 04 03 01 00 
808	02/27/18 16:21:26.515.584		00 00 00 00 00 00 00 00 
809	02/27/18 16:21:26.516.277		00 00 00 00 00 00 00 00 
810	02/27/18 16:21:26.516.969		63 63 63 63 ec da 
811	02/27/18 16:21:26.656.393	02 02 00 08 02 	
812	02/27/18 16:21:26.672.939		02 02 2e cd ae 00 04 bc 
813	02/27/18 16:21:26.673.631		69 04 00 58 58 01 0a 
814	02/27/18 16:21:26.674.237		ca 18 04 ff 03 01 07 02 
815	02/27/18 16:21:26.674.929		00 00 00 01 04 04 01 00 
816	02/27/18 16:21:26.675.622		00 00 00 00 00 00 00 00 
817	02/27/18 16:21:26.676.314		00 00 00 00 00 00 00 00 
818	02/27/18 16:21:26.677.007		63 63 63 63 b9 29 
819	02/27/18 16:21:26.812.559	02 02 00 08 02 	
820	02/27/18 16:21:26.832.911		02 02 2e cd ae 00 04 bd 
821	02/27/18 16:21:26.833.603		09 04 00 58 58 01 0a 
822	02/27/18 16:21:26.834.209		ca 18 04 ff 03 01 07 02 
823	02/27/18 16:21:26.834.901		01 00 00 01 04 04 01 01 
824	02/27/18 16:21:26.835.593		00 18 00 00 00 00 00 00 
825	02/27/18 16:21:26.836.286		00 00 00 00 00 00 00 00 
826	02/27/18 16:21:26.836.978		63 63 63 63 3e d2 
827	02/27/18 16:21:26.906.532	02 0e 00 4d 6f 	
828	02/27/18 16:21:26.923.250		02 0e f6 c2 b6 01 05 04 
829	02/27/18 16:21:26.923.943		64 18 00 01 00 01 00 01 
830	02/27/18 16:21:26.924.635		00 01 00 01 00 04 01 06 
831	02/27/18 16:21:26.925.327		04 07 4c 08 bf 07 af 06 
832	02/27/18 16:21:26.926.019		ff 05 ff 05 ff 04 ff 03 
833	02/27/18 16:21:26.926.712		ff 02 e4 02 c2 01 a1 01 
834	02/27/18 16:21:26.927.404		82 01 66 00 4e 00 39 00 
835	02/27/18 16:21:26.928.096		27 00 18 00 0c 00 03 00 
836	02/27/18 16:21:26.928.789		00 00 00 00 00 00 00 01 
837	02/27/18 16:21:26.929.481		00 01 00 01 00 01 00 01 
838	02/27/18 16:21:26.930.173		00 01 00 01 00 01 00 01 
839	02/27/18 16:21:26.930.865		00 01 00 01 00 01 00 01 
840	02/27/18 16:21:26.931.558		00 01 00 01 00 01 00 01 
841	02/27/18 16:21:26.932.250		00 01 00 01 00 01 00 01 
842	02/27/18 16:21:26.932.943		00 01 00 01 00 01 00 01 
843	02/27/18 16:21:26.933.635		00 01 00 01 00 01 00 01 
844	02/27/18 16:21:26.934.327		00 01 00 01 00 01 00 01 
845	02/27/18 16:21:26.935.020		00 01 00 01 00 01 00 01 
846	02/27/18 16:21:26.935.712		00 01 00 01 00 01 00 01 
847	02/27/18 16:21:26.936.404		00 01 00 01 00 01 00 01 
848	02/27/18 16:21:26.937.096		00 01 00 01 00 01 00 01 
849	02/27/18 16:21:26.937.789		00 01 00 01 00 01 00 01 
850	02/27/18 16:21:26.938.481		00 01 00 01 00 01 00 01 
851	02/27/18 16:21:26.939.173		00 01 00 01 00 01 00 01 
852	02/27/18 16:21:26.939.866		00 01 00 01 00 01 00 01 
853	02/27/18 16:21:26.940.558		00 01 00 01 00 01 00 01 
854	02/27/18 16:21:26.941.250		00 01 00 01 00 01 00 01 
855	02/27/18 16:21:26.941.943		00 01 00 01 00 01 00 01 
856	02/27/18 16:21:26.942.635		00 01 00 01 00 01 00 01 
857	02/27/18 16:21:26.943.327		00 01 00 01 00 01 00 01 
858	02/27/18 16:21:26.944.020		00 01 00 01 00 01 00 01 
859	02/27/18 16:21:26.944.712		00 01 00 bc 49 
860	02/27/18 16:21:27.093.794	02 02 00 08 02 	
861	02/27/18 16:21:27.112.918		02 02 2e cd ae 00 04 be 
862	02/27/18 16:21:27.113.610		21 04 00 58 58 01 0a 
863	02/27/18 16:21:27.114.216		ca 18 04 ff 03 01 07 02 
864	02/27/18 16:21:27.114.908		00 00 00 01 04 04 01 00 
865	02/27/18 16:21:27.115.601		00 00 00 00 00 00 00 00 
866	02/27/18 16:21:27.116.293		00 00 00 00 00 00 00 00 
867	02/27/18 16:21:27.116.985		63 63 63 63 43 39 
868	02/27/18 16:21:27.250.090	02 02 00 08 02 	
869	02/27/18 16:21:27.262.922		02 02 2e cd ae 00 04 be 
870	02/27/18 16:21:27.263.615		b7 04 00 58 58 01 0a 
871	02/27/18 16:21:27.264.220		ca 18 04 ff 03 01 07 02 
872	02/27/18 16:21:27.264.913		00 00 00 01 04 04 01 00 
873	02/27/18 16:21:27.265.605		00 00 00 00 00 00 00 00 
874	02/27/18 16:21:27.266.297		00 00 00 00 00 00 00 00 
875	02/27/18 16:21:27.266.989		63 63 63 63 c7 b4 
876	02/27/18 16:21:27.406.326	02 02 00 08 02 	
877	02/27/18 16:21:27.422.927		02 02 2e cd ae 00 04 bf 
878	02/27/18 16:21:27.423.619		57 04 00 58 58 01 0a 
879	02/27/18 16:21:27.424.225		ca 98 04 ff 00 00 05 02 
880	02/27/18 16:21:27.424.917		01 00 00 01 04 05 01 00 
881	02/27/18 16:21:27.425.609		00 00 00 00 00 00 00 00 
882	02/27/18 16:21:27.426.301		00 00 00 00 00 00 00 00 
883	02/27/18 16:21:27.426.994		63 63 63 63 98 4a 
884	02/27/18 16:21:27.500.290	02 0e 00 4d 6f 	
885	02/27/18 16:21:27.513.266		02 0e f6 c2 b6 01 05 05 
886	02/27/18 16:21:27.513.959		64 18 00 01 00 01 00 01 
887	02/27/18 16:21:27.514.651		00 01 00 01 00 01 00 01 
888	02/27/18 16:21:27.515.343		00 01 00 01 00 01 00 01 
889	02/27/18 16:21:27.516.036		00 01 00 01 00 01 00 01 
890	02/27/18 16:21:27.516.728		00 01 00 01 00 01 00 01 
891	02/27/18 16:21:27.517.420		00 01 00 01 00 01 00 01 
892	02/27/18 16:21:27.518.112		00 01 00 01 00 01 00 01 
893	02/27/18 16:21:27.518.805		00 01 00 01 00 01 00 01 
894	02/27/18 16:21:27.519.497		00 01 00 01 00 01 00 01 
895	02/27/18 16:21:27.520.189		00 01 00 01 00 01 00 01 
896	02/27/18 16:21:27.520.881		00 01 00 01 00 01 00 01 
897	02/27/18 16:21:27.521.574		00 01 00 01 00 01 00 01 
898	02/27/18 16:21:27.522.266		00 01 00 01 00 01 00 01 
899	02/27/18 16:21:27.522.959		00 01 00 01 00 01 00 01 
900	02/27/18 16:21:27.523.651		00 01 00 01 00 01 00 01 
901	02/27/18 16:21:27.524.343		00 01 00 01 00 01 00 01 
902	02/27/18 16:21:27.525.036		00 01 00 01 00 01 00 01 
903	02/27/18 16:21:27.525.728		00 01 00 01 00 01 00 01 
904	02/27/18 16:21:27.526.420		00 01 00 01 00 01 00 01 
905	02/27/18 16:21:27.527.113		00 01 00 01 00 01 00 01 
906	02/27/18 16:21:27.527.805		00 01 00 01 00 01 00 01 
907	02/27/18 16:21:27.528.497		00 01 00 01 00 01 00 01 
908	02/27/18 16:21:27.529.189		00 01 00 01 00 01 00 01 
909	02/27/18 16:21:27.529.882		00 01 00 01 00 01 00 01 
910	02/27/18 16:21:27.530.574		00 01 00 01 00 01 00 01 
911	02/27/18 16:21:27.531.266		00 01 00 01 00 01 00 01 
912	02/27/18 16:21:27.531.959		00 01 00 01 00 01 00 01 
913	02/27/18 16:21:27.532.651		00 01 00 01 00 01 00 01 
914	02/27/18 16:21:27.533.343		00 01 00 01 00 01 00 01 
915	02/27/18 16:21:27.534.036		00 01 00 01 00 01 00 01 
916	02/27/18 16:21:27.534.728		00 01 00 5d 7f 
917	02/27/18 16:21:27.710.805	02 02 00 08 02 	
918	02/27/18 16:21:27.722.935		02 02 2e cd ae 00 04 c0 
919	02/27/18 16:21:27.723.627		83 04 00 58 58 01 0a 
920	02/27/18 16:21:27.724.233		ca 98 04 ff 00 00 05 02 
921	02/27/18 16:21:27.724.925		00 00 00 01 04 05 01 00 
922	02/27/18 16:21:27.725.617		00 00 00 00 00 00 00 00 
923	02/27/18 16:21:27.726.310		00 00 00 00 00 00 00 00 
924	02/27/18 16:21:27.727.002		63 63 63 63 9f e7 
925	02/27/18 16:21:27.859.379	02 02 00 08 02 	
926	02/27/18 16:21:27.872.939		02 02 2e cd ae 00 04 c1 
927	02/27/18 16:21:27.873.631		19 04 00 58 58 01 0a 
928	02/27/18 16:21:27.874.237		ca 98 04 ff 00 00 05 02 
929	02/27/18 16:21:27.874.929		00 00 00 01 04 05 01 00 
930	02/27/18 16:21:27.875.622		00 00 00 00 00 00 00 00 
931	02/27/18 16:21:27.876.314		00 00 00 00 00 00 00 00 
932	02/27/18 16:21:27.877.006		63 63 63 63 82 bc 
933	02/27/18 16:21:28.015.701	02 02 00 08 02 	
934	02/27/18 16:21:28.032.933		02 02 2e cd ae 00 04 c1 
935	02/27/18 16:21:28.033.626		b9 04 00 58 58 01 0a 
936	02/27/18 16:21:28.034.231		ca 00 04 ff 00 00 05 03 
937	02/27/18 16:21:28.034.923		00 00 c2 01 04 00 01 00 
938	02/27/18 16:21:28.035.616		00 00 00 00 00 00 00 00 
939	02/27/18 16:21:28.036.308		00 00 00 00 00 00 00 00 
940	02/27/18 16:21:28.037.000		63 63 63 63 79 b3 
941	02/27/18 16:21:28.171.970	02 02 00 08 02 	
942	02/27/18 16:21:28.182.937		02 02 2e cd ae 00 04 c2 
943	02/27/18 16:21:28.183.629		4f 04 00 58 58 01 0a 
944	02/27/18 16:21:28.184.235		ca 00 04 ff 00 00 05 03 
945	02/27/18 16:21:28.184.928		00 00 b3 01 04 00 01 00 
946	02/27/18 16:21:28.185.620		00 00 00 00 00 00 00 00 
947	02/27/18 16:21:28.186.313		00 00 00 00 00 00 00 00 
948	02/27/18 16:21:28.187.005		63 63 63 63 2c da 
949	02/27/18 16:21:28.328.206	02 02 00 08 02 	
950	02/27/18 16:21:28.342.941		02 02 2e cd ae 00 04 c2 
951	02/27/18 16:21:28.343.634		ef 04 00 58 58 01 0a 
952	02/27/18 16:21:28.344.240		ca 00 04 ff 00 00 05 03 
953	02/27/18 16:21:28.344.932		00 00 a3 01 04 00 01 00 
954	02/27/18 16:21:28.345.625		00 00 00 00 00 00 00 00 
955	02/27/18 16:21:28.346.317		00 00 00 00 00 00 00 00 
956	02/27/18 16:21:28.347.009		63 63 63 63 e8 9b 
957	02/27/18 16:21:28.484.441	02 02 00 08 02 	
958	02/27/18 16:21:28.502.946		02 02 2e cd ae 00 04 c3 
959	02/27/18 16:21:28.503.638		8f 04 00 58 58 01 0a 
960	02/27/18 16:21:28.504.244		ca 00 04 ff 00 00 05 03 
961	02/27/18 16:21:28.504.937		00 00 93 01 04 00 01 00 
962	02/27/18 16:21:28.505.629		00 00 00 00 00 00 00 00 
963	02/27/18 16:21:28.506.321		00 00 00 00 00 00 00 00 
964	02/27/18 16:21:28.507.013		63 63 63 63 97 8f 
965	02/27/18 16:21:28.640.668	02 02 00 08 02 	
966	02/27/18 16:21:28.652.950		02 02 2e cd ae 00 04 c4 
967	02/27/18 16:21:28.653.642		25 04 00 58 58 01 0a 
968	02/27/18 16:21:28.654.248		ca 00 04 ff 00 00 05 03 
969	02/27/18 16:21:28.654.940		00 00 84 01 04 00 01 00 
970	02/27/18 16:21:28.655.633		00 00 00 00 00 00 00 00 
971	02/27/18 16:21:28.656.325		00 00 00 00 00 00 00 00 
972	02/27/18 16:21:28.657.017		63 63 63 63 50 08 
973	02/27/18 16:21:28.796.876	02 02 00 08 02 	
974	02/27/18 16:21:28.812.954		02 02 2e cd ae 00 04 c4 
975	02/27/18 16:21:28.813.647		c5 04 00 58 58 01 0a 
976	02/27/18 16:21:28.814.252		ca 00 04 ff 00 00 05 03 
977	02/27/18 16:21:28.814.945		00 00 74 01 04 00 01 00 
978	02/27/18 16:21:28.815.637		00 00 00 00 00 00 00 00 
979	02/27/18 16:21:28.816.329		00 00 00 00 00 00 00 00 
980	02/27/18 16:21:28.817.022		63 63 63 63 cc fc 
981	02/27/18 16:21:28.953.190	02 02 00 08 02 	
982	02/27/18 16:21:28.972.959		02 02 2e cd ae 00 04 c5 
983	02/27/18 16:21:28.973.651		65 04 00 58 58 01 0a 
984	02/27/18 16:21:28.974.257		ca 00 04 ff 00 00 05 03 
985	02/27/18 16:21:28.974.949		00 00 64 01 04 00 01 00 
986	02/27/18 16:21:28.975.641		00 00 00 00 00 00 00 00 
987	02/27/18 16:21:28.976.334		00 00 00 00 00 00 00 00 
988	02/27/18 16:21:28.977.026		63 63 63 63 4f 51 
989	02/27/18 16:21:29.109.442	02 02 00 08 02 	
990	02/27/18 16:21:29.122.963		02 02 2e cd ae 00 04 c5 
991	02/27/18 16:21:29.123.655		fb 04 00 58 58 01 0a 
992	02/27/18 16:21:29.124.261		ca 00 04 ff 00 00 05 03 
993	02/27/18 16:21:29.124.953		00 00 55 01 04 00 01 00 
994	02/27/18 16:21:29.125.646		00 00 00 00 00 00 00 00 
995	02/27/18 16:21:29.126.338		00 00 00 00 00 00 00 00 
996	02/27/18 16:21:29.127.030		63 63 63 63 aa 60 
997	02/27/18 16:21:29.265.712	02 02 00 08 02 	
998	02/27/18 16:21:29.282.967		02 02 2e cd ae 00 04 c6 
999	02/27/18 16:21:29.283.660		9b 04 00 58 58 01 0a 
1000	02/27/18 16:21:29.284.265		ca 00 04 ff 00 00 05 03 
1001	02/27/18 16:21:29.284.958		00 00 45 01 04 00 01 00 
1002	02/27/18 16:21:29.285.650		00 00 00 00 00 00 00 00 
1003	02/27/18 16:21:29.286.342		00 00 00 00 00 00 00 00 
1004	02/27/18 16:21:29.287.034		63 63 63 63 94 18 
1005	02/27/18 16:21:29.421.965	02 02 00 08 02 	
1006	02/27/18 16:21:29.432.971		02 02 2e cd ae 00 04 c7 
1007	02/27/18 16:21:29.433.663		31 04 00 58 58 01 0a 
1008	02/27/18 16:21:29.434.269		ca 00 04 ff 00 00 05 03 
1009	02/27/18 16:21:29.434.962		00 00 36 01 04 00 01 00 
1010	02/27/18 16:21:29.435.654		00 00 00 00 00 00 00 00 
1011	02/27/18 16:21:29.436.347		00 00 00 00 00 00 00 00 
1012	02/27/18 16:21:29.437.039		63 63 63 63 01 ed 
1013	02/27/18 16:21:29.578.217	02 02 00 08 02 	
1014	02/27/18 16:21:29.592.975		02 02 2e cd ae 00 04 c7 
1015	02/27/18 16:21:29.593.668		d1 04 00 58 58 01 0a 
1016	02/27/18 16:21:29.594.274		ca 00 04 ff 00 00 05 03 
1017	02/27/18 16:21:29.594.966		00 00 26 01 04 00 01 00 
1018	02/27/18 16:21:29.595.659		00 00 00 00 00 00 00 00 
1019	02/27/18 16:21:29.596.351		00 00 00 00 00 00 00 00 
1020	02/27/18 16:21:29.597.043		63 63 63 63 d4 57 
1021	02/27/18 16:21:29.734.470	02 02 00 08 02 	
1022	02/27/18 16:21:29.752.980		02 02 2e cd ae 00 04 c8 
1023	02/27/18 16:21:29.753.672		71 04 00 58 58 01 0a 
1024	02/27/18 16:21:29.754.278		ca 00 04 ff 00 00 05 03 
1025	02/27/18 16:21:29.754.971		00 00 16 01 04 00 01 00 
1026	02/27/18 16:21:29.755.663		00 00 00 00 00 00 00 00 
1027	02/27/18 16:21:29.756.355		00 00 00 00 00 00 00 00 
1028	02/27/18 16:21:29.757.048		63 63 63 63 06 25 
1029	02/27/18 16:21:29.890.722	02 02 00 08 02 	
1030	02/27/18 16:21:29.902.984		02 02 2e cd ae 00 04 c9 
1031	02/27/18 16:21:29.903.676		07 04 00 58 58 01 0a 
1032	02/27/18 16:21:29.904.282		ca 00 04 ff 00 00 05 03 
1033	02/27/18 16:21:29.904.974		00 00 07 01 04 00 01 00 
1034	02/27/18 16:21:29.905.667		00 00 00 00 00 00 00 00 
1035	02/27/18 16:21:29.906.359		00 00 00 00 00 00 00 00 
1036	02/27/18 16:21:29.907.051		63 63 63 63 bc 9f 
1037	02/27/18 16:21:30.046.975	02 02 00 08 02 	
1038	02/27/18 16:21:30.062.999		02 02 2e cd ae 00 04 c9 
1039	02/27/18 16:21:30.063.691		a7 04 00 58 58 01 0a 
1040	02/27/18 16:21:30.064.297		ca 18 04 ff 03 01 07 02 
1041	02/27/18 16:21:30.064.989		01 00 00 01 04 01 01 01 
1042	02/27/18 16:21:30.065.681		00 19 00 00 00 00 00 00 
1043	02/27/18 16:21:30.066.373		00 00 00 00 00 00 00 00 
1044	02/27/18 16:21:30.067.066		63 63 63 63 1d b3 
1045	02/27/18 16:21:30.140.870	02 0e 00 4d 6f 	
1046	02/27/18 16:21:30.153.338		02 0e f6 c2 b6 01 05 01 
1047	02/27/18 16:21:30.154.031		64 18 00 01 00 01 00 01 
1048	02/27/18 16:21:30.154.723		00 01 00 01 00 04 01 06 
1049	02/27/18 16:21:30.155.415		04 07 46 08 b6 08 cf 06 
1050	02/27/18 16:21:30.156.108		ff 05 ff 05 ff 04 ff 03 
1051	02/27/18 16:21:30.156.800		ff 02 ea 02 c6 01 a5 01 
1052	02/27/18 16:21:30.157.492		85 01 69 00 51 00 3b 00 
1053	02/27/18 16:21:30.158.184		29 00 1a 00 0e 00 04 00 
1054	02/27/18 16:21:30.158.877		00 00 00 00 00 00 00 00 
1055	02/27/18 16:21:30.159.569		00 01 00 01 00 01 00 01 
1056	02/27/18 16:21:30.160.261		00 01 00 01 00 01 00 01 
1057	02/27/18 16:21:30.160.953		00 01 00 01 00 01 00 01 
1058	02/27/18 16:21:30.161.646		00 01 00 01 00 01 00 01 
1059	02/27/18 16:21:30.162.338		00 01 00 01 00 01 00 01 
1060	02/27/18 16:21:30.163.031		00 01 00 01 00 01 00 01 
1061	02/27/18 16:21:30.163.723		00 01 00 01 00 01 00 01 
1062	02/27/18 16:21:30.164.415		00 01 00 01 00 01 00 01 
1063	02/27/18 16:21:30.165.108		00 01 00 01 00 01 00 01 
1064	02/27/18 16:21:30.165.800		00 01 00 01 00 01 00 01 
1065	02/27/18 16:21:30.166.492		00 01 00 01 00 01 00 01 
1066	02/27/18 16:21:30.167.185		00 01 00 01 00 01 00 01 
1067	02/27/18 16:21:30.167.877		00 01 00 01 00 01 00 01 
1068	02/27/18 16:21:30.168.569		00 01 00 01 00 01 00 01 
1069	02/27/18 16:21:30.169.261		00 01 00 01 00 01 00 01 
1070	02/27/18 16:21:30.169.954		00 01 00 01 00 01 00 01 
1071	02/27/18 16:21:30.170.646		00 01 00 01 00 01 00 01 
1072	02/27/18 16:21:30.171.338		00 01 00 01 00 01 00 01 
1073	02/27/18 16:21:30.172.031		00 01 00 01 00 01 00 01 
1074	02/27/18 16:21:30.172.723		00 01 00 01 00 01 00 01 
1075	02/27/18 16:21:30.173.415		00 01 00 01 00 01 00 01 
1076	02/27/18 16:21:30.174.108		00 01 00 01 00 01 00 01 
1077	02/27/18 16:21:30.174.800		00 01 00 eb 62 
1078	02/27/18 16:21:30.328.184	02 02 00 08 02 	
1079	02/27/18 16:21:30.343.006		02 02 2e cd ae 00 04 ca 
1080	02/27/18 16:21:30.343.698		bf 04 00 58 58 01 0a 
1081	02/27/18 16:21:30.344.304		ca 18 04 ff 03 01 07 02 
1082	02/27/18 16:21:30.344.996		00 00 00 01 04 01 01 00 
1083	02/27/18 16:21:30.345.689		00 00 00 00 00 00 00 00 
1084	02/27/18 16:21:30.346.381		00 00 00 00 00 00 00 00 
1085	02/27/18 16:21:30.347.073		63 63 63 63 f6 cc 
1086	02/27/18 16:21:30.484.445	02 02 00 08 02 	
1087	02/27/18 16:21:30.503.010		02 02 2e cd ae 00 04 cb 
1088	02/27/18 16:21:30.503.703		5f 04 00 58 58 01 0a 
1089	02/27/18 16:21:30.504.308		ca 18 04 ff 03 01 07 02 
1090	02/27/18 16:21:30.505.001		00 00 00 01 04 01 01 00 
1091	02/27/18 16:21:30.505.693		00 00 00 00 00 00 00 00 
1092	02/27/18 16:21:30.506.385		00 00 00 00 00 00 00 00 
1093	02/27/18 16:21:30.507.078		63 63 63 63 03 c0 
1094	02/27/18 16:21:30.640.672	02 02 00 08 02 	
1095	02/27/18 16:21:30.653.028		02 02 2e cd ae 00 04 cb 
1096	02/27/18 16:21:30.653.720		f5 04 00 58 58 01 0a 
1097	02/27/18 16:21:30.654.326		ca 18 04 ff 03 01 07 02 
1098	02/27/18 16:21:30.655.018		00 00 00 01 04 02 01 00 
1099	02/27/18 16:21:30.655.711		00 00 00 00 00 00 00 00 
1100	02/27/18 16:21:30.656.403		00 00 00 00 00 00 00 00 
1101	02/27/18 16:21:30.657.095		63 63 63 63 be e1 
1102	02/27/18 16:21:30.796.968	02 02 00 08 02 	
1103	02/27/18 16:21:30.813.019		02 02 2e cd ae 00 04 cc 
1104	02/27/18 16:21:30.813.711		95 04 00 58 58 01 0a 
1105	02/27/18 16:21:30.814.317		ca 98 04 ff 03 01 07 02 
1106	02/27/18 16:21:30.815.009		01 00 00 01 04 02 01 00 
1107	02/27/18 16:21:30.815.702		00 00 00 00 00 00 00 00 
1108	02/27/18 16:21:30.816.394		00 00 00 00 00 00 00 00 
1109	02/27/18 16:21:30.817.086		63 63 63 63 50 76 
1110	02/27/18 16:21:30.890.932	02 0e 00 4d 6f 	
1111	02/27/18 16:21:30.903.359		02 0e f6 c2 b6 01 05 02 
1112	02/27/18 16:21:30.904.051		64 18 00 01 00 01 00 01 
1113	02/27/18 16:21:30.904.743		00 01 00 01 00 01 00 01 
1114	02/27/18 16:21:30.905.436		00 01 00 01 00 01 00 01 
1115	02/27/18 16:21:30.906.128		00 01 00 01 00 01 00 01 
1116	02/27/18 16:21:30.906.820		00 01 00 01 00 01 00 01 
1117	02/27/18 16:21:30.907.513		00 01 00 01 00 01 00 01 
1118	02/27/18 16:21:30.908.205		00 01 00 01 00 01 00 01 
1119	02/27/18 16:21:30.908.897		00 01 00 01 00 01 00 01 
1120	02/27/18 16:21:30.909.589		00 01 00 01 00 01 00 01 
1121	02/27/18 16:21:30.910.282		00 01 00 01 00 01 00 01 
1122	02/27/18 16:21:30.910.974		00 01 00 01 00 01 00 01 
1123	02/27/18 16:21:30.911.666		00 01 00 01 00 01 00 01 
1124	02/27/18 16:21:30.912.359		00 01 00 01 00 01 00 01 
1125	02/27/18 16:21:30.913.051		00 01 00 01 00 01 00 01 
1126	02/27/18 16:21:30.913.743		00 01 00 01 00 01 00 01 
1127	02/27/18 16:21:30.914.436		00 01 00 01 00 01 00 01 
1128	02/27/18 16:21:30.915.128		00 01 00 01 00 01 00 01 
1129	02/27/18 16:21:30.915.821		00 01 00 01 00 01 00 01 
1130	02/27/18 16:21:30.916.513		00 01 00 01 00 01 00 01 
1131	02/27/18 16:21:30.917.205		00 01 00 01 00 01 00 01 
1132	02/27/18 16:21:30.917.897		00 01 00 01 00 01 00 01 
1133	02/27/18 16:21:30.918.590		00 01 00 01 00 01 00 01 
1134	02/27/18 16:21:30.919.282		00 01 00 01 00 01 00 01 
1135	02/27/18 16:21:30.919.974		00 01 00 01 00 01 00 01 
1136	02/27/18 16:21:30.920.666		00 01 00 01 00 01 00 01 
1137	02/27/18 16:21:30.921.359		00 01 00 01 00 01 00 01 
1138	02/27/18 16:21:30.922.051		00 01 00 01 00 01 00 01 
1139	02/27/18 16:21:30.922.743		00 01 00 01 00 01 00 01 
1140	02/27/18 16:21:30.923.436		00 01 00 01 00 01 00 01 
1141	02/27/18 16:21:30.924.128		00 01 00 01 00 01 00 01 
1142	02/27/18 16:21:30.924.821		00 01 00 a6 fd 
1143	02/27/18 16:21:31.078.194	02 02 00 08 02 	
1144	02/27/18 16:21:31.093.027		02 02 2e cd ae 00 04 cd 
1145	02/27/18 16:21:31.093.719		ad 04 00 58 58 01 0a 
1146	02/27/18 16:21:31.094.325		ca 98 04 ff 03 01 07 02 
1147	02/27/18 16:21:31.095.017		00 00 00 01 04 02 01 00 
1148	02/27/18 16:21:31.095.709		00 00 00 00 00 00 00 00 
1149	02/27/18 16:21:31.096.401		00 00 00 00 00 00 00 00 
1150	02/27/18 16:21:31.097.094		63 63 63 63 1f b6 
1151	02/27/18 16:21:31.234.481	02 02 00 08 02 	
1152	02/27/18 16:21:31.253.031		02 02 2e cd ae 00 04 ce 
1153	02/27/18 16:21:31.253.723		4d 04 00 58 58 01 0a 
1154	02/27/18 16:21:31.254.329		ca 98 04 ff 03 01 07 02 
1155	02/27/18 16:21:31.255.021		00 00 00 01 04 02 01 00 
1156	02/27/18 16:21:31.255.714		00 00 00 00 00 00 00 00 
1157	02/27/18 16:21:31.256.406		00 00 00 00 00 00 00 00 
1158	02/27/18 16:21:31.257.098		63 63 63 63 65 62 
1159	02/27/18 16:21:31.390.734	02 02 00 08 02 	
1160	02/27/18 16:21:31.403.035		02 02 2e cd ae 00 04 ce 
1161	02/27/18 16:21:31.403.727		e3 04 00 58 58 01 0a 
1162	02/27/18 16:21:31.404.333		ca 98 04 ff 03 01 07 02 
1163	02/27/18 16:21:31.405.026		01 00 00 01 04 03 01 00 
1164	02/27/18 16:21:31.405.718		00 00 00 00 00 00 00 00 
1165	02/27/18 16:21:31.406.410		00 00 00 00 00 00 00 00 
1166	02/27/18 16:21:31.407.103		63 63 63 63 8c c8 
1167	02/27/18 16:21:31.484.672	02 0e 00 4d 6f 	
1168	02/27/18 16:21:31.503.375		02 0e f6 c2 b6 01 05 03 
1169	02/27/18 16:21:31.504.067		64 18 00 01 00 01 00 01 
1170	02/27/18 16:21:31.504.760		00 01 00 01 00 01 00 01 
1171	02/27/18 16:21:31.505.452		00 01 00 01 00 01 00 01 
1172	02/27/18 16:21:31.506.144		00 01 00 01 00 01 00 01 
1173	02/27/18 16:21:31.506.836		00 01 00 01 00 01 00 01 
1174	02/27/18 16:21:31.507.529		00 01 00 01 00 01 00 01 
1175	02/27/18 16:21:31.508.221		00 01 00 01 00 01 00 01 
1176	02/27/18 16:21:31.508.913		00 01 00 01 00 01 00 01 
1177	02/27/18 16:21:31.509.606		00 01 00 01 00 01 00 01 
1178	02/27/18 16:21:31.510.298		00 01 00 01 00 01 00 01 
1179	02/27/18 16:21:31.510.991		00 01 00 01 00 01 00 01 
1180	02/27/18 16:21:31.511.683		00 01 00 01 00 01 00 01 
1181	02/27/18 16:21:31.512.375		00 01 00 01 00 01 00 01 
1182	02/27/18 16:21:31.513.068		00 01 00 01 00 01 00 01 
1183	02/27/18 16:21:31.513.760		00 01 00 01 00 01 00 01 
