Line	MM/DD/YY hh:mm:ss.ms.us	DTE(hex)	DCE(hex)
178	02/27/18 16:21:15.833.293		11 04 00 58 58 01 0a 
179	02/27/18 16:21:15.833.899		ca 00 04 ff 00 00 05 03 
180	02/27/18 16:21:15.834.591		00 03 6f 01 04 00 01 00 
181	02/27/18 16:21:15.835.283		00 00 00 00 00 00 00 00 
182	02/27/18 16:21:15.835.975		00 00 00 00 00 00 00 00 
183	02/27/18 16:21:15.836.668		63 63 63 63 44 5c 
184	02/27/18 16:21:15.968.728	02 02 00 08 02 	
185	02/27/18 16:21:15.982.604		02 02 2e cd ae 00 04 92 
186	02/27/18 16:21:15.983.297		a7 04 00 58 58 01 0a 
187	02/27/18 16:21:15.983.903		ca 00 04 ff 00 00 05 03 
188	02/27/18 16:21:15.984.595		00 03 60 01 04 00 01 00 
189	02/27/18 16:21:15.985.287		00 00 00 00 00 00 00 00 
190	02/27/18 16:21:15.985.980		00 00 00 00 00 00 00 00 
191	02/27/18 16:21:15.986.672		63 63 63 63 06 d5 
192	02/27/18 16:21:16.125.014	02 02 00 08 02 	
193	02/27/18 16:21:16.142.609		02 02 2e cd ae 00 04 93 
194	02/27/18 16:21:16.143.301		47 04 00 58 58 01 0a 
195	02/27/18 16:21:16.143.907		ca 00 04 ff 00 00 05 03 
196	02/27/18 16:21:16.144.599		00 03 50 01 04 00 01 00 
197	02/27/18 16:21:16.145.292		00 00 00 00 00 00 00 00 
198	02/27/18 16:21:16.145.984		00 00 00 00 00 00 00 00 
199	02/27/18 16:21:16.146.677		63 63 63 63 5a 37 
200	02/27/18 16:21:16.281.241	02 02 00 08 02 	
201	02/27/18 16:21:16.292.613		02 02 2e cd ae 00 04 93 
202	02/27/18 16:21:16.293.305		dd 04 00 58 58 01 0a 
203	02/27/18 16:21:16.293.911		ca 00 04 ff 00 00 05 03 
204	02/27/18 16:21:16.294.603		00 03 41 01 04 00 01 00 
205	02/27/18 16:21:16.295.296		00 00 00 00 00 00 00 00 
206	02/27/18 16:21:16.295.988		00 00 00 00 00 00 00 00 
207	02/27/18 16:21:16.296.680		63 63 63 63 cb bb 
208	02/27/18 16:21:16.437.502	02 02 00 08 02 	
209	02/27/18 16:21:16.452.617		02 02 2e cd ae 00 04 94 
210	02/27/18 16:21:16.453.310		7d 04 00 58 58 01 0a 
211	02/27/18 16:21:16.453.915		ca 00 04 ff 00 00 05 03 
212	02/27/18 16:21:16.454.608		00 03 31 01 04 00 01 00 
213	02/27/18 16:21:16.455.300		00 00 00 00 00 00 00 00 
214	02/27/18 16:21:16.455.992		00 00 00 00 00 00 00 00 
215	02/27/18 16:21:16.456.685		63 63 63 63 8b a2 
216	02/27/18 16:21:16.593.746	02 02 00 08 02 	
217	02/27/18 16:21:16.612.622		02 02 2e cd ae 00 04 95 
218	02/27/18 16:21:16.613.314		1d 04 00 58 58 01 0a 
219	02/27/18 16:21:16.613.920		ca 00 04 ff 00 00 05 03 
220	02/27/18 16:21:16.614.612		00 03 21 01 04 00 01 00 
221	02/27/18 16:21:16.615.304		00 00 00 00 00 00 00 00 
222	02/27/18 16:21:16.615.997		00 00 00 00 00 00 00 00 
223	02/27/18 16:21:16.616.689		63 63 63 63 3a 02 
224	02/27/18 16:21:16.750.007	02 02 00 08 02 	
225	02/27/18 16:21:16.762.626		02 02 2e cd ae 00 04 95 
226	02/27/18 16:21:16.763.318		b3 04 00 58 58 01 0a 
227	02/27/18 16:21:16.763.924		ca 00 04 ff 00 00 05 03 
228	02/27/18 16:21:16.764.616		00 03 12 01 04 00 01 00 
229	02/27/18 16:21:16.765.309		00 00 00 00 00 00 00 00 
230	02/27/18 16:21:16.766.001		00 00 00 00 00 00 00 00 
